,REF_DATE,GEO,National Occupational Classification (NOC),Statistics,VALUE
95,2012,Canada,"Occupations in education, law and social, community and government services","Median gender pay ratio in annual wages, salaries and commissions",0.54
96,2012,Canada,"Occupations in art, culture, recreation and sport","Average employment income, both sexes",31400.0
97,2012,Canada,"Occupations in art, culture, recreation and sport","Average employment income, females",25200.0
98,2012,Canada,"Occupations in art, culture, recreation and sport","Average employment income, males",38600.0
99,2012,Canada,"Occupations in art, culture, recreation and sport",Average gender pay ratio in annual employment income,0.65
100,2012,Canada,"Occupations in art, culture, recreation and sport","Median employment income, both sexes",21900.0
101,2012,Canada,"Occupations in art, culture, recreation and sport","Median employment income, females",16600.0
102,2012,Canada,"Occupations in art, culture, recreation and sport","Median employment income, males",28100.0
103,2012,Canada,"Occupations in art, culture, recreation and sport",Median gender pay ratio in annual employment income,0.59
104,2012,Canada,"Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, both sexes",31600.0
105,2012,Canada,"Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, females",25400.0
106,2012,Canada,"Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, males",39100.0
107,2012,Canada,"Occupations in art, culture, recreation and sport","Average gender pay ratio in annual wages, salaries and commissions",0.65
108,2012,Canada,"Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, both sexes",19400.0
109,2012,Canada,"Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, females",15100.0
110,2012,Canada,"Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, males",29900.0
111,2012,Canada,"Occupations in art, culture, recreation and sport","Median gender pay ratio in annual wages, salaries and commissions",0.51
112,2012,Canada,Sales and service occupations,"Average employment income, both sexes",27500.0
113,2012,Canada,Sales and service occupations,"Average employment income, females",22600.0
114,2012,Canada,Sales and service occupations,"Average employment income, males",34200.0
115,2012,Canada,Sales and service occupations,Average gender pay ratio in annual employment income,0.66
116,2012,Canada,Sales and service occupations,"Median employment income, both sexes",19500.0
117,2012,Canada,Sales and service occupations,"Median employment income, females",16600.0
118,2012,Canada,Sales and service occupations,"Median employment income, males",24900.0
119,2012,Canada,Sales and service occupations,Median gender pay ratio in annual employment income,0.67
120,2012,Canada,Sales and service occupations,"Average wages, salaries and commissions, both sexes",27700.0
121,2012,Canada,Sales and service occupations,"Average wages, salaries and commissions, females",22700.0
122,2012,Canada,Sales and service occupations,"Average wages, salaries and commissions, males",34500.0
123,2012,Canada,Sales and service occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.66
124,2012,Canada,Sales and service occupations,"Median wages, salaries and commissions, both sexes",19800.0
125,2012,Canada,Sales and service occupations,"Median wages, salaries and commissions, females",17100.0
126,2012,Canada,Sales and service occupations,"Median wages, salaries and commissions, males",25400.0
127,2012,Canada,Sales and service occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.67
128,2012,Canada,"Trades, transport and equipment operators and related occupations","Average employment income, both sexes",49500.0
129,2012,Canada,"Trades, transport and equipment operators and related occupations","Average employment income, females",30400.0
130,2012,Canada,"Trades, transport and equipment operators and related occupations","Average employment income, males",51000.0
131,2012,Canada,"Trades, transport and equipment operators and related occupations",Average gender pay ratio in annual employment income,0.6
132,2012,Canada,"Trades, transport and equipment operators and related occupations","Median employment income, both sexes",44400.0
133,2012,Canada,"Trades, transport and equipment operators and related occupations","Median employment income, females",22900.0
134,2012,Canada,"Trades, transport and equipment operators and related occupations","Median employment income, males",46100.0
135,2012,Canada,"Trades, transport and equipment operators and related occupations",Median gender pay ratio in annual employment income,0.5
136,2012,Canada,"Trades, transport and equipment operators and related occupations","Average wages, salaries and commissions, both sexes",51800.0
137,2012,Canada,"Trades, transport and equipment operators and related occupations","Average wages, salaries and commissions, females",31700.0
138,2012,Canada,"Trades, transport and equipment operators and related occupations","Average wages, salaries and commissions, males",53300.0
139,2012,Canada,"Trades, transport and equipment operators and related occupations","Average gender pay ratio in annual wages, salaries and commissions",0.6
140,2012,Canada,"Trades, transport and equipment operators and related occupations","Median wages, salaries and commissions, both sexes",46800.0
141,2012,Canada,"Trades, transport and equipment operators and related occupations","Median wages, salaries and commissions, females",23300.0
142,2012,Canada,"Trades, transport and equipment operators and related occupations","Median wages, salaries and commissions, males",48600.0
143,2012,Canada,"Trades, transport and equipment operators and related occupations","Median gender pay ratio in annual wages, salaries and commissions",0.48
144,2012,Canada,"Natural resources, agriculture and related production occupations","Average employment income, both sexes",43300.0
145,2012,Canada,"Natural resources, agriculture and related production occupations","Average employment income, females",22000.0
146,2012,Canada,"Natural resources, agriculture and related production occupations","Average employment income, males",48200.0
147,2012,Canada,"Natural resources, agriculture and related production occupations",Average gender pay ratio in annual employment income,0.46
148,2012,Canada,"Natural resources, agriculture and related production occupations","Median employment income, both sexes",24000.0
149,2012,Canada,"Natural resources, agriculture and related production occupations","Median employment income, females",13300.0
150,2012,Canada,"Natural resources, agriculture and related production occupations","Median employment income, males",30100.0
151,2012,Canada,"Natural resources, agriculture and related production occupations",Median gender pay ratio in annual employment income,0.44
152,2012,Canada,"Natural resources, agriculture and related production occupations","Average wages, salaries and commissions, both sexes",46300.0
153,2012,Canada,"Natural resources, agriculture and related production occupations","Average wages, salaries and commissions, females",23100.0
154,2012,Canada,"Natural resources, agriculture and related production occupations","Average wages, salaries and commissions, males",51800.0
155,2012,Canada,"Natural resources, agriculture and related production occupations","Average gender pay ratio in annual wages, salaries and commissions",0.45
156,2012,Canada,"Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, both sexes",25900.0
157,2012,Canada,"Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, females",15000.0
158,2012,Canada,"Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, males",34600.0
159,2012,Canada,"Natural resources, agriculture and related production occupations","Median gender pay ratio in annual wages, salaries and commissions",0.43
160,2012,Canada,Occupations in manufacturing and utilities,"Average employment income, both sexes",45700.0
161,2012,Canada,Occupations in manufacturing and utilities,"Average employment income, females",31300.0
162,2012,Canada,Occupations in manufacturing and utilities,"Average employment income, males",50500.0
163,2012,Canada,Occupations in manufacturing and utilities,Average gender pay ratio in annual employment income,0.62
164,2012,Canada,Occupations in manufacturing and utilities,"Median employment income, both sexes",40700.0
165,2012,Canada,Occupations in manufacturing and utilities,"Median employment income, females",28200.0
166,2012,Canada,Occupations in manufacturing and utilities,"Median employment income, males",44800.0
167,2012,Canada,Occupations in manufacturing and utilities,Median gender pay ratio in annual employment income,0.63
168,2012,Canada,Occupations in manufacturing and utilities,"Average wages, salaries and commissions, both sexes",46500.0
169,2012,Canada,Occupations in manufacturing and utilities,"Average wages, salaries and commissions, females",32200.0
170,2012,Canada,Occupations in manufacturing and utilities,"Average wages, salaries and commissions, males",51200.0
171,2012,Canada,Occupations in manufacturing and utilities,"Average gender pay ratio in annual wages, salaries and commissions",0.63
172,2012,Canada,Occupations in manufacturing and utilities,"Median wages, salaries and commissions, both sexes",41600.0
173,2012,Canada,Occupations in manufacturing and utilities,"Median wages, salaries and commissions, females",29500.0
174,2012,Canada,Occupations in manufacturing and utilities,"Median wages, salaries and commissions, males",45000.0
175,2012,Canada,Occupations in manufacturing and utilities,"Median gender pay ratio in annual wages, salaries and commissions",0.66
176,2012,Canada,Occupation unknown,"Average employment income, both sexes",11800.0
177,2012,Canada,Occupation unknown,"Average employment income, females",9900.0
178,2012,Canada,Occupation unknown,"Average employment income, males",13600.0
179,2012,Canada,Occupation unknown,Average gender pay ratio in annual employment income,0.73
180,2012,Canada,Occupation unknown,"Median employment income, both sexes",1700.0
181,2012,Canada,Occupation unknown,"Median employment income, females",2200.0
182,2012,Canada,Occupation unknown,"Median employment income, males",1500.0
183,2012,Canada,Occupation unknown,Median gender pay ratio in annual employment income,1.45
184,2012,Canada,Occupation unknown,"Average wages, salaries and commissions, both sexes",12900.0
185,2012,Canada,Occupation unknown,"Average wages, salaries and commissions, females",10200.0
186,2012,Canada,Occupation unknown,"Average wages, salaries and commissions, males",15200.0
187,2012,Canada,Occupation unknown,"Average gender pay ratio in annual wages, salaries and commissions",0.67
188,2012,Canada,Occupation unknown,"Median wages, salaries and commissions, both sexes",1500.0
189,2012,Canada,Occupation unknown,"Median wages, salaries and commissions, females",1700.0
190,2012,Canada,Occupation unknown,"Median wages, salaries and commissions, males",1400.0
191,2012,Canada,Occupation unknown,"Median gender pay ratio in annual wages, salaries and commissions",1.23
192,2012,Atlantic provinces,All occupations,"Average employment income, both sexes",39800.0
193,2012,Atlantic provinces,All occupations,"Average employment income, females",32300.0
194,2012,Atlantic provinces,All occupations,"Average employment income, males",46800.0
195,2012,Atlantic provinces,All occupations,Average gender pay ratio in annual employment income,0.69
196,2012,Atlantic provinces,All occupations,"Median employment income, both sexes",30400.0
197,2012,Atlantic provinces,All occupations,"Median employment income, females",24500.0
198,2012,Atlantic provinces,All occupations,"Median employment income, males",36800.0
199,2012,Atlantic provinces,All occupations,Median gender pay ratio in annual employment income,0.67
200,2012,Atlantic provinces,All occupations,"Average wages, salaries and commissions, both sexes",40700.0
201,2012,Atlantic provinces,All occupations,"Average wages, salaries and commissions, females",32900.0
202,2012,Atlantic provinces,All occupations,"Average wages, salaries and commissions, males",48000.0
203,2012,Atlantic provinces,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.69
204,2012,Atlantic provinces,All occupations,"Median wages, salaries and commissions, both sexes",31800.0
205,2012,Atlantic provinces,All occupations,"Median wages, salaries and commissions, females",25400.0
206,2012,Atlantic provinces,All occupations,"Median wages, salaries and commissions, males",38200.0
207,2012,Atlantic provinces,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.67
208,2012,Atlantic provinces,Management occupations,"Average employment income, both sexes",67200.0
209,2012,Atlantic provinces,Management occupations,"Average employment income, females",57000.0
210,2012,Atlantic provinces,Management occupations,"Average employment income, males",73400.0
211,2012,Atlantic provinces,Management occupations,Average gender pay ratio in annual employment income,0.78
212,2012,Atlantic provinces,Management occupations,"Median employment income, both sexes",59000.0
213,2012,Atlantic provinces,Management occupations,"Median employment income, females",50300.0
214,2012,Atlantic provinces,Management occupations,"Median employment income, males",64900.0
215,2012,Atlantic provinces,Management occupations,Median gender pay ratio in annual employment income,0.78
216,2012,Atlantic provinces,Management occupations,"Average wages, salaries and commissions, both sexes",73600.0
217,2012,Atlantic provinces,Management occupations,"Average wages, salaries and commissions, females",62400.0
218,2012,Atlantic provinces,Management occupations,"Average wages, salaries and commissions, males",81000.0
219,2012,Atlantic provinces,Management occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.77
220,2012,Atlantic provinces,Management occupations,"Median wages, salaries and commissions, both sexes",66700.0
221,2012,Atlantic provinces,Management occupations,"Median wages, salaries and commissions, females",59300.0
222,2012,Atlantic provinces,Management occupations,"Median wages, salaries and commissions, males",77800.0
223,2012,Atlantic provinces,Management occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.76
224,2012,Atlantic provinces,"Business, finance and administration occupations","Average employment income, both sexes",43900.0
225,2012,Atlantic provinces,"Business, finance and administration occupations","Average employment income, females",39700.0
226,2012,Atlantic provinces,"Business, finance and administration occupations","Average employment income, males",55300.0
227,2012,Atlantic provinces,"Business, finance and administration occupations",Average gender pay ratio in annual employment income,0.72
228,2012,Atlantic provinces,"Business, finance and administration occupations","Median employment income, both sexes",41300.0
229,2012,Atlantic provinces,"Business, finance and administration occupations","Median employment income, females",39200.0
230,2012,Atlantic provinces,"Business, finance and administration occupations","Median employment income, males",48200.0
231,2012,Atlantic provinces,"Business, finance and administration occupations",Median gender pay ratio in annual employment income,0.81
232,2012,Atlantic provinces,"Business, finance and administration occupations","Average wages, salaries and commissions, both sexes",43700.0
233,2012,Atlantic provinces,"Business, finance and administration occupations","Average wages, salaries and commissions, females",39500.0
234,2012,Atlantic provinces,"Business, finance and administration occupations","Average wages, salaries and commissions, males",55300.0
235,2012,Atlantic provinces,"Business, finance and administration occupations","Average gender pay ratio in annual wages, salaries and commissions",0.71
236,2012,Atlantic provinces,"Business, finance and administration occupations","Median wages, salaries and commissions, both sexes",41600.0
237,2012,Atlantic provinces,"Business, finance and administration occupations","Median wages, salaries and commissions, females",39500.0
238,2012,Atlantic provinces,"Business, finance and administration occupations","Median wages, salaries and commissions, males",48200.0
239,2012,Atlantic provinces,"Business, finance and administration occupations","Median gender pay ratio in annual wages, salaries and commissions",0.82
240,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average employment income, both sexes",64400.0
241,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average employment income, females",59500.0
242,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average employment income, males",65600.0
243,2012,Atlantic provinces,Natural and applied sciences and related occupations,Average gender pay ratio in annual employment income,0.91
244,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median employment income, both sexes",60700.0
245,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median employment income, females",64200.0
246,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median employment income, males",60500.0
247,2012,Atlantic provinces,Natural and applied sciences and related occupations,Median gender pay ratio in annual employment income,1.06
248,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, both sexes",65000.0
249,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, females",59600.0
250,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, males",66500.0
251,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.9
252,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, both sexes",61300.0
253,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, females",65100.0
254,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, males",60600.0
255,2012,Atlantic provinces,Natural and applied sciences and related occupations,"Median gender pay ratio in annual wages, salaries and commissions",1.07
256,2012,Atlantic provinces,Health occupations,"Average employment income, both sexes",54400.0
257,2012,Atlantic provinces,Health occupations,"Average employment income, females",50800.0
258,2012,Atlantic provinces,Health occupations,"Average employment income, males",73300.0
259,2012,Atlantic provinces,Health occupations,Average gender pay ratio in annual employment income,0.69
260,2012,Atlantic provinces,Health occupations,"Median employment income, both sexes",46400.0
261,2012,Atlantic provinces,Health occupations,"Median employment income, females",43800.0
262,2012,Atlantic provinces,Health occupations,"Median employment income, males",67400.0
263,2012,Atlantic provinces,Health occupations,Median gender pay ratio in annual employment income,0.65
264,2012,Atlantic provinces,Health occupations,"Average wages, salaries and commissions, both sexes",54200.0
265,2012,Atlantic provinces,Health occupations,"Average wages, salaries and commissions, females",50500.0
266,2012,Atlantic provinces,Health occupations,"Average wages, salaries and commissions, males",73900.0
267,2012,Atlantic provinces,Health occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.68
268,2012,Atlantic provinces,Health occupations,"Median wages, salaries and commissions, both sexes",46400.0
269,2012,Atlantic provinces,Health occupations,"Median wages, salaries and commissions, females",43800.0
270,2012,Atlantic provinces,Health occupations,"Median wages, salaries and commissions, males",68000.0
271,2012,Atlantic provinces,Health occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.64
272,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average employment income, both sexes",45500.0
273,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average employment income, females",37300.0
274,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average employment income, males",66700.0
275,2012,Atlantic provinces,"Occupations in education, law and social, community and government services",Average gender pay ratio in annual employment income,0.56
276,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median employment income, both sexes",33500.0
277,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median employment income, females",26800.0
278,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median employment income, males",64900.0
279,2012,Atlantic provinces,"Occupations in education, law and social, community and government services",Median gender pay ratio in annual employment income,0.41
280,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average wages, salaries and commissions, both sexes",45400.0
281,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average wages, salaries and commissions, females",37200.0
282,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average wages, salaries and commissions, males",66300.0
283,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Average gender pay ratio in annual wages, salaries and commissions",0.56
284,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median wages, salaries and commissions, both sexes",34600.0
285,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median wages, salaries and commissions, females",27700.0
286,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median wages, salaries and commissions, males",64900.0
287,2012,Atlantic provinces,"Occupations in education, law and social, community and government services","Median gender pay ratio in annual wages, salaries and commissions",0.43
288,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average employment income, both sexes",24000.0
289,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average employment income, females",20800.0
290,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average employment income, males",26700.0
291,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport",Average gender pay ratio in annual employment income,0.78
292,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median employment income, both sexes",16600.0
293,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median employment income, females",
294,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median employment income, males",18300.0
295,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport",Median gender pay ratio in annual employment income,
296,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, both sexes",25900.0
297,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, females",21600.0
298,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, males",29800.0
299,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Average gender pay ratio in annual wages, salaries and commissions",0.72
300,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, both sexes",16600.0
301,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, females",
302,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, males",20100.0
303,2012,Atlantic provinces,"Occupations in art, culture, recreation and sport","Median gender pay ratio in annual wages, salaries and commissions",
304,2012,Atlantic provinces,Sales and service occupations,"Average employment income, both sexes",23800.0
305,2012,Atlantic provinces,Sales and service occupations,"Average employment income, females",20000.0
306,2012,Atlantic provinces,Sales and service occupations,"Average employment income, males",30200.0
307,2012,Atlantic provinces,Sales and service occupations,Average gender pay ratio in annual employment income,0.66
308,2012,Atlantic provinces,Sales and service occupations,"Median employment income, both sexes",18200.0
309,2012,Atlantic provinces,Sales and service occupations,"Median employment income, females",16000.0
310,2012,Atlantic provinces,Sales and service occupations,"Median employment income, males",23600.0
311,2012,Atlantic provinces,Sales and service occupations,Median gender pay ratio in annual employment income,0.68
312,2012,Atlantic provinces,Sales and service occupations,"Average wages, salaries and commissions, both sexes",24000.0
313,2012,Atlantic provinces,Sales and service occupations,"Average wages, salaries and commissions, females",20400.0
314,2012,Atlantic provinces,Sales and service occupations,"Average wages, salaries and commissions, males",29700.0
315,2012,Atlantic provinces,Sales and service occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.69
316,2012,Atlantic provinces,Sales and service occupations,"Median wages, salaries and commissions, both sexes",18400.0
317,2012,Atlantic provinces,Sales and service occupations,"Median wages, salaries and commissions, females",16600.0
318,2012,Atlantic provinces,Sales and service occupations,"Median wages, salaries and commissions, males",23600.0
319,2012,Atlantic provinces,Sales and service occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.7
320,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations","Average employment income, both sexes",47000.0
321,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations","Average employment income, females",21200.0
322,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations","Average employment income, males",47700.0
323,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations",Average gender pay ratio in annual employment income,0.44
324,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations","Median employment income, both sexes",37600.0
325,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations","Median employment income, females",
326,2012,Atlantic provinces,"Trades, transport and equipment operators and related occupations","Median employment income, males",37900.0
